# format:
# wallName,         startX,     startY,     endX,       endY,       wallBot,    wallTop
# |----------------|-----------|-----------|-----------|-----------|-----------|-----------|

stonebrick,         0,          0,          0,          1000,       0,          250
stonebrick,         200,        1000,       200,        0,          0,          250
stonebrick,         200,        1000,       600,        1000,       0,          250
stonebrick,         -200,       1000,       0,          1000,       0,          250
stonebrick,         -200,       980,        -200,       1000,       0,          250
stonebrick,         -200,       980,        -20,        980,        0,          250
stonebrick,         -20,        980,        -20,        -5,         0,          250

# door post
stonebrick,         30,         0,          170,         0,         210,        250
stonebrick,         30,         -5,         170,         -5,        210,        250
stonebrick,         170,        -5,         400,        -5,         0,          250
stonebrick,         30,         -5,         -20,        -5,         0,          250
stonebrick,         30,         0,          30,         -5,         0,          250
stonebrick,         170,        0,          170,        -5,         0,          250
stonebrick,         200,        0,          170,        0,          0,          250
stonebrick,         0,          0,          30,         0,          0,          250

# stairs
handdrawnbrickwall, -160,       1400,       -160,       1000,       0,          20
handdrawnbrickwall, -180,       1400,       -180,       1000,       20,         40
handdrawnbrickwall, -200,       1400,       -200,       1000,       40,         60
handdrawnbrickwall, -220,       1400,       -220,       1000,       60,         80
handdrawnbrickwall, -240,       1400,       -240,       1000,       80,         100

handdrawnbrickwall, -400,       1400,       600,        1400,       0,          400
